2019-06-26_15:36:53data_dir: data/
batch_size: 120
win_size: 5
hidden_num: 100
word_dim: 300
num_epochs: 3
grad_clip: 10.00/3354 (epoch 0), train_loss = 9.870, time/batch = 0.194
94/3354 (epoch 0), train_loss = 5.805, time/batch = 0.115
95/3354 (epoch 0), train_loss = 5.154, time/batch = 0.117
96/3354 (epoch 0), train_loss = 5.753, time/batch = 0.119
97/3354 (epoch 0), train_loss = 5.981, time/batch = 0.116
98/3354 (epoch 0), train_loss = 5.675, time/batch = 0.117
99/3354 (epoch 0), train_loss = 5.848, time/batch = 0.114
100/3354 (epoch 0), train_loss = 5.690, time/batch = 0.116
101/3354 (epoch 0), train_loss = 5.605, time/batch = 0.115
102/3354 (epoch 0), train_loss = 6.072, time/batch = 0.118
103/3354 (epoch 0), train_loss = 5.642, time/batch = 0.116
104/3354 (epoch 0), train_loss = 5.164, time/batch = 0.117
105/3354 (epoch 0), train_loss = 6.807, time/batch = 0.117
106/3354 (epoch 0), train_loss = 5.943, time/batch = 0.115
107/3354 (epoch 0), train_loss = 6.114, time/batch = 0.115
108/3354 (epoch 0), train_loss = 5.933, time/batch = 0.117
109/3354 (epoch 0), train_loss = 5.768, time/batch = 0.117
110/3354 (epoch 0), train_loss = 5.265, time/batch = 0.116
111/3354 (epoch 0), train_loss = 5.897, time/batch = 0.116
112/3354 (epoch 0), train_loss = 6.182, time/batch = 0.117
113/3354 (epoch 0), train_loss = 5.798, time/batch = 0.119
114/3354 (epoch 0), train_loss = 6.314, time/batch = 0.117
115/3354 (epoch 0), train_loss = 5.780, time/batch = 0.118
116/3354 (epoch 0), train_loss = 5.284, time/batch = 0.118
117/3354 (epoch 0), train_loss = 5.150, time/batch = 0.119
118/3354 (epoch 0), train_loss = 5.419, time/batch = 0.116
119/3354 (epoch 0), train_loss = 5.456, time/batch = 0.115
120/3354 (epoch 0), train_loss = 5.514, time/batch = 0.117
121/3354 (epoch 0), train_loss = 6.319, time/batch = 0.117
122/3354 (epoch 0), train_loss = 5.513, time/batch = 0.118
123/3354 (epoch 0), train_loss = 5.472, time/batch = 0.116
124/3354 (epoch 0), train_loss = 5.168, time/batch = 0.117
125/3354 (epoch 0), train_loss = 5.728, time/batch = 0.116
126/3354 (epoch 0), train_loss = 5.887, time/batch = 0.116
127/3354 (epoch 0), train_loss = 5.418, time/batch = 0.116
128/3354 (epoch 0), train_loss = 5.463, time/batch = 0.118
129/3354 (epoch 0), train_loss = 6.269, time/batch = 0.116
130/3354 (epoch 0), train_loss = 5.338, time/batch = 0.118
131/3354 (epoch 0), train_loss = 4.941, time/batch = 0.116
132/3354 (epoch 0), train_loss = 5.305, time/batch = 0.117
133/3354 (epoch 0), train_loss = 4.760, time/batch = 0.117
134/3354 (epoch 0), train_loss = 5.447, time/batch = 0.117
135/3354 (epoch 0), train_loss = 5.377, time/batch = 0.116
136/3354 (epoch 0), train_loss = 5.906, time/batch = 0.116
137/3354 (epoch 0), train_loss = 6.174, time/batch = 0.115
138/3354 (epoch 0), train_loss = 5.526, time/batch = 0.115
139/3354 (epoch 0), train_loss = 5.985, time/batch = 0.117
140/3354 (epoch 0), train_loss = 5.714, time/batch = 0.115
141/3354 (epoch 0), train_loss = 5.304, time/batch = 0.115
142/3354 (epoch 0), train_loss = 5.379, time/batch = 0.116
143/3354 (epoch 0), train_loss = 5.577, time/batch = 0.118
144/3354 (epoch 0), train_loss = 4.934, time/batch = 0.117
145/3354 (epoch 0), train_loss = 5.186, time/batch = 0.116
146/3354 (epoch 0), train_loss = 5.481, time/batch = 0.118
147/3354 (epoch 0), train_loss = 4.957, time/batch = 0.118
148/3354 (epoch 0), train_loss = 5.589, time/batch = 0.116
149/3354 (epoch 0), train_loss = 5.698, time/batch = 0.117
150/3354 (epoch 0), train_loss = 5.850, time/batch = 0.116
151/3354 (epoch 0), train_loss = 4.637, time/batch = 0.116
152/3354 (epoch 0), train_loss = 5.482, time/batch = 0.116
153/3354 (epoch 0), train_loss = 5.716, time/batch = 0.116
154/3354 (epoch 0), train_loss = 5.337, time/batch = 0.117
155/3354 (epoch 0), train_loss = 5.847, time/batch = 0.116
156/3354 (epoch 0), train_loss = 5.318, time/batch = 0.119
157/3354 (epoch 0), train_loss = 5.523, time/batch = 0.114
158/3354 (epoch 0), train_loss = 4.662, time/batch = 0.116
159/3354 (epoch 0), train_loss = 5.231, time/batch = 0.116
160/3354 (epoch 0), train_loss = 5.558, time/batch = 0.116
161/3354 (epoch 0), train_loss = 5.535, time/batch = 0.115
162/3354 (epoch 0), train_loss = 5.280, time/batch = 0.117
163/3354 (epoch 0), train_loss = 5.530, time/batch = 0.115
164/3354 (epoch 0), train_loss = 5.724, time/batch = 0.118
165/3354 (epoch 0), train_loss = 5.680, time/batch = 0.116
166/3354 (epoch 0), train_loss = 5.116, time/batch = 0.117
167/3354 (epoch 0), train_loss = 5.522, time/batch = 0.116
168/3354 (epoch 0), train_loss = 5.279, time/batch = 0.116
169/3354 (epoch 0), train_loss = 5.852, time/batch = 0.116
170/3354 (epoch 0), train_loss = 6.116, time/batch = 0.114
171/3354 (epoch 0), train_loss = 5.414, time/batch = 0.115
172/3354 (epoch 0), train_loss = 5.836, time/batch = 0.116
173/3354 (epoch 0), train_loss = 5.228, time/batch = 0.120
174/3354 (epoch 0), train_loss = 5.538, time/batch = 0.116
175/3354 (epoch 0), train_loss = 5.259, time/batch = 0.116
176/3354 (epoch 0), train_loss = 5.276, time/batch = 0.117
177/3354 (epoch 0), train_loss = 5.132, time/batch = 0.115
178/3354 (epoch 0), train_loss = 4.909, time/batch = 0.117
179/3354 (epoch 0), train_loss = 5.752, time/batch = 0.115
180/3354 (epoch 0), train_loss = 5.200, time/batch = 0.117
181/3354 (epoch 0), train_loss = 5.342, time/batch = 0.118
182/3354 (epoch 0), train_loss = 5.542, time/batch = 0.119
183/3354 (epoch 0), train_loss = 5.283, time/batch = 0.116
184/3354 (epoch 0), train_loss = 5.174, time/batch = 0.117
185/3354 (epoch 0), train_loss = 5.844, time/batch = 0.117
186/3354 (epoch 0), train_loss = 5.304, time/batch = 0.118
187/3354 (epoch 0), train_loss = 4.912, time/batch = 0.117
188/3354 (epoch 0), train_loss = 5.240, time/batch = 0.116
189/3354 (epoch 0), train_loss = 5.261, time/batch = 0.116
190/3354 (epoch 0), train_loss = 5.087, time/batch = 0.117
191/3354 (epoch 0), train_loss = 5.557, time/batch = 0.117
192/3354 (epoch 0), train_loss = 4.821, time/batch = 0.115
193/3354 (epoch 0), train_loss = 5.487, time/batch = 0.115
194/3354 (epoch 0), train_loss = 4.895, time/batch = 0.116
195/3354 (epoch 0), train_loss = 5.354, time/batch = 0.117
196/3354 (epoch 0), train_loss = 5.456, time/batch = 0.117
197/3354 (epoch 0), train_loss = 5.451, time/batch = 0.126
198/3354 (epoch 0), train_loss = 5.702, time/batch = 0.118
199/3354 (epoch 0), train_loss = 4.611, time/batch = 0.117
200/3354 (epoch 0), train_loss = 5.794, time/batch = 0.116
201/3354 (epoch 0), train_loss = 4.699, time/batch = 0.115
202/3354 (epoch 0), train_loss = 5.622, time/batch = 0.117
203/3354 (epoch 0), train_loss = 5.140, time/batch = 0.116
204/3354 (epoch 0), train_loss = 5.593, time/batch = 0.117
205/3354 (epoch 0), train_loss = 5.743, time/batch = 0.118
206/3354 (epoch 0), train_loss = 5.977, time/batch = 0.115
207/3354 (epoch 0), train_loss = 5.409, time/batch = 0.117
208/3354 (epoch 0), train_loss = 5.490, time/batch = 0.118
209/3354 (epoch 0), train_loss = 5.556, time/batch = 0.116
210/3354 (epoch 0), train_loss = 4.950, time/batch = 0.116
211/3354 (epoch 0), train_loss = 6.181, time/batch = 0.117
212/3354 (epoch 0), train_loss = 6.191, time/batch = 0.117
213/3354 (epoch 0), train_loss = 5.683, time/batch = 0.116
214/3354 (epoch 0), train_loss = 5.505, time/batch = 0.117
215/3354 (epoch 0), train_loss = 5.385, time/batch = 0.116
216/3354 (epoch 0), train_loss = 5.423, time/batch = 0.119
217/3354 (epoch 0), train_loss = 5.966, time/batch = 0.115
218/3354 (epoch 0), train_loss = 5.798, time/batch = 0.116
219/3354 (epoch 0), train_loss = 4.681, time/batch = 0.115
220/3354 (epoch 0), train_loss = 5.667, time/batch = 0.116
221/3354 (epoch 0), train_loss = 5.282, time/batch = 0.115
222/3354 (epoch 0), train_loss = 4.116, time/batch = 0.117
223/3354 (epoch 0), train_loss = 5.363, time/batch = 0.116
224/3354 (epoch 0), train_loss = 5.507, time/batch = 0.116
225/3354 (epoch 0), train_loss = 5.300, time/batch = 0.118
226/3354 (epoch 0), train_loss = 5.195, time/batch = 0.117
227/3354 (epoch 0), train_loss = 5.272, time/batch = 0.116
228/3354 (epoch 0), train_loss = 5.449, time/batch = 0.116
229/3354 (epoch 0), train_loss = 5.461, time/batch = 0.117
230/3354 (epoch 0), train_loss = 5.951, time/batch = 0.116
231/3354 (epoch 0), train_loss = 5.641, time/batch = 0.116
232/3354 (epoch 0), train_loss = 5.917, time/batch = 0.117
233/3354 (epoch 0), train_loss = 5.939, time/batch = 0.117
234/3354 (epoch 0), train_loss = 5.240, time/batch = 0.115
235/3354 (epoch 0), train_loss = 5.297, time/batch = 0.115
236/3354 (epoch 0), train_loss = 5.708, time/batch = 0.118
237/3354 (epoch 0), train_loss = 5.242, time/batch = 0.116
238/3354 (epoch 0), train_loss = 5.449, time/batch = 0.117
239/3354 (epoch 0), train_loss = 5.699, time/batch = 0.116
240/3354 (epoch 0), train_loss = 5.623, time/batch = 0.114
241/3354 (epoch 0), train_loss = 5.488, time/batch = 0.116
242/3354 (epoch 0), train_loss = 5.257, time/batch = 0.120
243/3354 (epoch 0), train_loss = 5.334, time/batch = 0.120
244/3354 (epoch 0), train_loss = 5.282, time/batch = 0.118
245/3354 (epoch 0), train_loss = 5.348, time/batch = 0.117
246/3354 (epoch 0), train_loss = 4.593, time/batch = 0.122
247/3354 (epoch 0), train_loss = 5.534, time/batch = 0.115
248/3354 (epoch 0), train_loss = 5.020, time/batch = 0.116
249/3354 (epoch 0), train_loss = 5.371, time/batch = 0.116
250/3354 (epoch 0), train_loss = 5.190, time/batch = 0.117
251/3354 (epoch 0), train_loss = 5.177, time/batch = 0.116
252/3354 (epoch 0), train_loss = 5.211, time/batch = 0.116
253/3354 (epoch 0), train_loss = 5.808, time/batch = 0.117
254/3354 (epoch 0), train_loss = 5.222, time/batch = 0.117
255/3354 (epoch 0), train_loss = 5.626, time/batch = 0.121
256/3354 (epoch 0), train_loss = 5.626, time/batch = 0.120
257/3354 (epoch 0), train_loss = 5.803, time/batch = 0.117
258/3354 (epoch 0), train_loss = 5.290, time/batch = 0.116
259/3354 (epoch 0), train_loss = 5.787, time/batch = 0.119
260/3354 (epoch 0), train_loss = 5.567, time/batch = 0.117
261/3354 (epoch 0), train_loss = 5.446, time/batch = 0.115
262/3354 (epoch 0), train_loss = 5.617, time/batch = 0.118
263/3354 (epoch 0), train_loss = 5.054, time/batch = 0.118
264/3354 (epoch 0), train_loss = 5.247, time/batch = 0.115
265/3354 (epoch 0), train_loss = 5.081, time/batch = 0.116
266/3354 (epoch 0), train_loss = 4.997, time/batch = 0.116
267/3354 (epoch 0), train_loss = 5.411, time/batch = 0.117
268/3354 (epoch 0), train_loss = 5.424, time/batch = 0.120
269/3354 (epoch 0), train_loss = 5.276, time/batch = 0.117
270/3354 (epoch 0), train_loss = 5.701, time/batch = 0.117
271/3354 (epoch 0), train_loss = 5.547, time/batch = 0.115
272/3354 (epoch 0), train_loss = 5.472, time/batch = 0.120
273/3354 (epoch 0), train_loss = 5.437, time/batch = 0.116
274/3354 (epoch 0), train_loss = 5.382, time/batch = 0.117
275/3354 (epoch 0), train_loss = 5.441, time/batch = 0.115
276/3354 (epoch 0), train_loss = 5.411, time/batch = 0.117
277/3354 (epoch 0), train_loss = 5.273, time/batch = 0.115
278/3354 (epoch 0), train_loss = 5.290, time/batch = 0.116
279/3354 (epoch 0), train_loss = 4.950, time/batch = 0.116
280/3354 (epoch 0), train_loss = 4.465, time/batch = 0.117
281/3354 (epoch 0), train_loss = 5.190, time/batch = 0.116
282/3354 (epoch 0), train_loss = 5.178, time/batch = 0.116
283/3354 (epoch 0), train_loss = 4.744, time/batch = 0.115
284/3354 (epoch 0), train_loss = 5.463, time/batch = 0.117
285/3354 (epoch 0), train_loss = 5.176, time/batch = 0.116
286/3354 (epoch 0), train_loss = 5.398, time/batch = 0.116
287/3354 (epoch 0), train_loss = 4.922, time/batch = 0.116
288/3354 (epoch 0), train_loss = 4.777, time/batch = 0.116
289/3354 (epoch 0), train_loss = 4.768, time/batch = 0.118
290/3354 (epoch 0), train_loss = 4.877, time/batch = 0.117
291/3354 (epoch 0), train_loss = 5.067, time/batch = 0.117
292/3354 (epoch 0), train_loss = 5.186, time/batch = 0.115
293/3354 (epoch 0), train_loss = 5.415, time/batch = 0.116
294/3354 (epoch 0), train_loss = 5.425, time/batch = 0.117
295/3354 (epoch 0), train_loss = 5.592, time/batch = 0.116
296/3354 (epoch 0), train_loss = 5.041, time/batch = 0.116
297/3354 (epoch 0), train_loss = 5.206, time/batch = 0.115
298/3354 (epoch 0), train_loss = 4.928, time/batch = 0.119
299/3354 (epoch 0), train_loss = 5.010, time/batch = 0.116
300/3354 (epoch 0), train_loss = 4.890, time/batch = 0.116
301/3354 (epoch 0), train_loss = 5.443, time/batch = 0.117
302/3354 (epoch 0), train_loss = 5.133, time/batch = 0.117
303/3354 (epoch 0), train_loss = 4.912, time/batch = 0.117
304/3354 (epoch 0), train_loss = 5.838, time/batch = 0.117
305/3354 (epoch 0), train_loss = 5.516, time/batch = 0.116
306/3354 (epoch 0), train_loss = 5.059, time/batch = 0.117
307/3354 (epoch 0), train_loss = 5.127, time/batch = 0.121
308/3354 (epoch 0), train_loss = 4.760, time/batch = 0.116
309/3354 (epoch 0), train_loss = 5.026, time/batch = 0.115
310/3354 (epoch 0), train_loss = 5.175, time/batch = 0.117
311/3354 (epoch 0), train_loss = 4.544, time/batch = 0.118
312/3354 (epoch 0), train_loss = 4.867, time/batch = 0.117
313/3354 (epoch 0), train_loss = 4.630, time/batch = 0.116
314/3354 (epoch 0), train_loss = 4.719, time/batch = 0.116
315/3354 (epoch 0), train_loss = 4.196, time/batch = 0.117
316/3354 (epoch 0), train_loss = 5.150, time/batch = 0.116
317/3354 (epoch 0), train_loss = 4.766, time/batch = 0.116
318/3354 (epoch 0), train_loss = 4.669, time/batch = 0.117
319/3354 (epoch 0), train_loss = 5.183, time/batch = 0.116
320/3354 (epoch 0), train_loss = 4.893, time/batch = 0.117
321/3354 (epoch 0), train_loss = 4.463, time/batch = 0.116
322/3354 (epoch 0), train_loss = 4.846, time/batch = 0.116
323/3354 (epoch 0), train_loss = 5.845, time/batch = 0.115
324/3354 (epoch 0), train_loss = 4.795, time/batch = 0.117
325/3354 (epoch 0), train_loss = 5.111, time/batch = 0.116
326/3354 (epoch 0), train_loss = 4.953, time/batch = 0.116
327/3354 (epoch 0), train_loss = 4.957, time/batch = 0.116
328/3354 (epoch 0), train_loss = 5.054, time/batch = 0.119
329/3354 (epoch 0), train_loss = 5.164, time/batch = 0.116
330/3354 (epoch 0), train_loss = 4.435, time/batch = 0.116
331/3354 (epoch 0), train_loss = 4.995, time/batch = 0.117
332/3354 (epoch 0), train_loss = 4.471, time/batch = 0.118
333/3354 (epoch 0), train_loss = 5.088, time/batch = 0.114
334/3354 (epoch 0), train_loss = 5.323, time/batch = 0.118
335/3354 (epoch 0), train_loss = 5.632, time/batch = 0.113
336/3354 (epoch 0), train_loss = 5.289, time/batch = 0.117
337/3354 (epoch 0), train_loss = 5.644, time/batch = 0.118
338/3354 (epoch 0), train_loss = 5.526, time/batch = 0.119
339/3354 (epoch 0), train_loss = 4.521, time/batch = 0.115
340/3354 (epoch 0), train_loss = 5.439, time/batch = 0.115
341/3354 (epoch 0), train_loss = 4.856, time/batch = 0.117
342/3354 (epoch 0), train_loss = 5.674, time/batch = 0.117
343/3354 (epoch 0), train_loss = 5.125, time/batch = 0.117
344/3354 (epoch 0), train_loss = 5.742, time/batch = 0.116
345/3354 (epoch 0), train_loss = 4.880, time/batch = 0.122
346/3354 (epoch 0), train_loss = 5.497, time/batch = 0.120
347/3354 (epoch 0), train_loss = 5.288, time/batch = 0.117
348/3354 (epoch 0), train_loss = 6.050, time/batch = 0.115
349/3354 (epoch 0), train_loss = 5.039, time/batch = 0.117
350/3354 (epoch 0), train_loss = 4.672, time/batch = 0.118
351/3354 (epoch 0), train_loss = 5.511, time/batch = 0.115
352/3354 (epoch 0), train_loss = 5.047, time/batch = 0.117
353/3354 (epoch 0), train_loss = 5.162, time/batch = 0.117
354/3354 (epoch 0), train_loss = 4.756, time/batch = 0.116
355/3354 (epoch 0), train_loss = 6.157, time/batch = 0.117
356/3354 (epoch 0), train_loss = 5.440, time/batch = 0.116
357/3354 (epoch 0), train_loss = 5.103, time/batch = 0.115
358/3354 (epoch 0), train_loss = 5.644, time/batch = 0.119
359/3354 (epoch 0), train_loss = 4.760, time/batch = 0.116
360/3354 (epoch 0), train_loss = 4.910, time/batch = 0.115
361/3354 (epoch 0), train_loss = 5.286, time/batch = 0.115
362/3354 (epoch 0), train_loss = 4.923, time/batch = 0.117
363/3354 (epoch 0), train_loss = 5.376, time/batch = 0.116
364/3354 (epoch 0), train_loss = 4.693, time/batch = 0.117
365/3354 (epoch 0), train_loss = 5.646, time/batch = 0.116
366/3354 (epoch 0), train_loss = 4.815, time/batch = 0.116
367/3354 (epoch 0), train_loss = 4.619, time/batch = 0.118
368/3354 (epoch 0), train_loss = 5.021, time/batch = 0.117
369/3354 (epoch 0), train_loss = 5.289, time/batch = 0.118
370/3354 (epoch 0), train_loss = 5.794, time/batch = 0.116
371/3354 (epoch 0), train_loss = 4.756, time/batch = 0.119
372/3354 (epoch 0), train_loss = 4.991, time/batch = 0.118
373/3354 (epoch 0), train_loss = 5.739, time/batch = 0.115
374/3354 (epoch 0), train_loss = 4.988, time/batch = 0.117
375/3354 (epoch 0), train_loss = 5.107, time/batch = 0.116
376/3354 (epoch 0), train_loss = 4.682, time/batch = 0.118
377/3354 (epoch 0), train_loss = 5.099, time/batch = 0.115
378/3354 (epoch 0), train_loss = 4.857, time/batch = 0.116
379/3354 (epoch 0), train_loss = 4.502, time/batch = 0.117
380/3354 (epoch 0), train_loss = 4.818, time/batch = 0.117
381/3354 (epoch 0), train_loss = 5.946, time/batch = 0.116
382/3354 (epoch 0), train_loss = 5.317, time/batch = 0.115
383/3354 (epoch 0), train_loss = 5.177, time/batch = 0.116
384/3354 (epoch 0), train_loss = 5.893, time/batch = 0.121
385/3354 (epoch 0), train_loss = 4.605, time/batch = 0.117
386/3354 (epoch 0), train_loss = 5.671, time/batch = 0.116
387/3354 (epoch 0), train_loss = 4.738, time/batch = 0.116
388/3354 (epoch 0), train_loss = 5.404, time/batch = 0.117
389/3354 (epoch 0), train_loss = 5.219, time/batch = 0.115
390/3354 (epoch 0), train_loss = 4.508, time/batch = 0.117
391/3354 (epoch 0), train_loss = 5.345, time/batch = 0.115
392/3354 (epoch 0), train_loss = 4.951, time/batch = 0.116
393/3354 (epoch 0), train_loss = 5.004, time/batch = 0.115
394/3354 (epoch 0), train_loss = 4.884, time/batch = 0.118
395/3354 (epoch 0), train_loss = 4.702, time/batch = 0.115
396/3354 (epoch 0), train_loss = 4.980, time/batch = 0.117
397/3354 (epoch 0), train_loss = 5.187, time/batch = 0.117
398/3354 (epoch 0), train_loss = 5.164, time/batch = 0.116
399/3354 (epoch 0), train_loss = 4.794, time/batch = 0.118
400/3354 (epoch 0), train_loss = 5.491, time/batch = 0.117
401/3354 (epoch 0), train_loss = 4.861, time/batch = 0.115
402/3354 (epoch 0), train_loss = 4.686, time/batch = 0.117
403/3354 (epoch 0), train_loss = 4.415, time/batch = 0.113
404/3354 (epoch 0), train_loss = 5.323, time/batch = 0.116
405/3354 (epoch 0), train_loss = 4.708, time/batch = 0.116
406/3354 (epoch 0), train_loss = 4.974, time/batch = 0.117
407/3354 (epoch 0), train_loss = 4.310, time/batch = 0.114
408/3354 (epoch 0), train_loss = 5.353, time/batch = 0.116
409/3354 (epoch 0), train_loss = 4.555, time/batch = 0.116
410/3354 (epoch 0), train_loss = 4.255, time/batch = 0.117
411/3354 (epoch 0), train_loss = 4.234, time/batch = 0.116
412/3354 (epoch 0), train_loss = 5.006, time/batch = 0.114
413/3354 (epoch 0), train_loss = 4.379, time/batch = 0.118
414/3354 (epoch 0), train_loss = 4.756, time/batch = 0.118
415/3354 (epoch 0), train_loss = 4.989, time/batch = 0.114
416/3354 (epoch 0), train_loss = 5.113, time/batch = 0.117
417/3354 (epoch 0), train_loss = 4.832, time/batch = 0.116
418/3354 (epoch 0), train_loss = 5.605, time/batch = 0.116
419/3354 (epoch 0), train_loss = 5.505, time/batch = 0.117
420/3354 (epoch 0), train_loss = 5.436, time/batch = 0.117
421/3354 (epoch 0), train_loss = 4.849, time/batch = 0.117
422/3354 (epoch 0), train_loss = 6.043, time/batch = 0.116
423/3354 (epoch 0), train_loss = 5.221, time/batch = 0.118
424/3354 (epoch 0), train_loss = 5.789, time/batch = 0.116
425/3354 (epoch 0), train_loss = 4.864, time/batch = 0.117
426/3354 (epoch 0), train_loss = 5.572, time/batch = 0.118
427/3354 (epoch 0), train_loss = 5.691, time/batch = 0.118
428/3354 (epoch 0), train_loss = 5.652, time/batch = 0.117
429/3354 (epoch 0), train_loss = 5.193, time/batch = 0.117
430/3354 (epoch 0), train_loss = 5.368, time/batch = 0.117
431/3354 (epoch 0), train_loss = 5.199, time/batch = 0.117
